courses,average_rating,name,slug,num_courses,num_reviews,sentiment
"['BSCI348B', 'BSCI279B', 'BSCI330', 'BSCI433', 'BSCI339T', 'BSCI338Z', 'CPSF100', 'CPSP249L', 'CPSF101', 'CPSP218L', 'CPSP359I', 'GEOL388I', 'BSCI258', 'BSCI433', 'BSCI433', 'BSCI339S', 'BSCI433', 'CPSF100', 'CPSF200', 'CPSP249L', 'BSCI433', 'CPSF101', 'BSCI433', 'BSCI433', 'BSCI330', 'CPSF100', 'CPSF200', 'BSCI433', 'CPSF101', 'CPSF100', 'CPSF200']",3.3889,Beth Parent,parent,31,18,-0.27019301387998795
"['LBSC601', 'INST888', 'LBSC602', 'INST701', 'INST352', 'INFM799', 'INST799', 'INST809', 'INST810', 'INST709', 'INST309B', 'HLTH672', 'HLTH710', 'INST408A', 'INST899', 'INST608Q', 'INST352', 'INST728K', 'INST228', 'INST232C', 'INST408A', 'INST608Q', 'INST709', 'INST728K', 'INST228', 'INST352', 'INST354', 'INST451', 'INST232C', 'INST608Q', 'INST352', 'INST232C', 'INST451', 'INST608Q']",4.5,Beth St Jean,st_jean,34,14,0.316203202520098
"['ENES220', 'ENME473', 'ENME680', 'ENME690', 'ENME808Z', 'ENME473', 'ENME690', 'ENME808Z', 'ENES220', 'ENME473', 'ENME690']",3.4286,Bongtae Han,han_bongtae,11,14,0.2783802705151694
"['CHEM135', 'CHEM231', 'HONR288B', 'BCHM463', 'CHEM241', 'CHEM131', 'CHEM134', 'BCHM461', 'CHEM131S', 'CHEM232', 'CPSP218L', 'EXST155', 'CHEM242', 'CHEM271', 'BCHM463', 'BCHM462', 'BCHM463', 'BCHM462', 'CHEM271', 'CHEM241', 'CHEM242', 'BCHM461', 'CHEM231', 'BCHM463', 'CHEM241', 'BCHM462', 'BCHM463', 'BCHM462']",3.5822,Bonnie Dixon,dixon_bonnie,28,213,0.042295916539402637
"['BSCI207', 'CLFS510', 'BSCI392', 'BSCI393', 'ENTM701', 'CLFS609F', 'CPSP219L', 'CLFS725', 'HLSC207', 'CLFS609F', 'CLFS725', 'CLFS725']",3.6818,Bretton Kent,kent,12,22,0.16815145720135083
"['ENGL245', 'ENGL101', 'ENGL222', 'CMLT277', 'ENGL255', 'FILM245', 'CMLT275', 'WMST275', 'ENGL393', 'ENGL293', 'ENGL101', 'ENGL101S', 'ENGL290', 'ENGL101', 'ENGL101', 'ENGL245', 'ENGL101', 'ENGL101', 'ENGL245']",5.0,Brian Davis,davis_brian,19,11,0.9978841759941794
"['CHEM131', 'CHEM608B', 'CHEM602', 'CHEM401', 'CHEM271', 'CHEM131S', 'CHEM898', 'CHEM146']",3.9231,Bryan Eichhorn,eichhorn,8,26,0.27362049313691944
"['HLSC100', 'BSCI279C', 'HLSC377', 'BSCI338F', 'BSCI330H', 'HONR219G', 'HONR359G', 'BSCI279H', 'BSCI329H', 'BSCI348', 'BIOE389F']",3.3,Byrn Quimby,quimby,11,10,0.20751721262931824
"['GVPT459E', 'GVPT200', 'GVPT203', 'GVPT459Y', 'GVPT485', 'GVPT888A', 'GVPT200', 'GVPT888A', 'GVPT459Y', 'GVPT200', 'GVPT203', 'GVPT459Y', 'GVPT888A']",3.4286,Calvert Jones,jones_calvert,13,14,-0.4569590219429561
"['PHYS273', 'PHYS410', 'PHYS375', 'PHYS405', 'PHYS273H', 'PHYS748', 'PHYS407', 'PHYS165', 'PHYS407', 'PHYS407', 'PHYS165', 'PHYS407', 'PHYS748', 'PHYS407', 'PHYS406', 'PHYS265', 'PHYS406', 'PHYS407', 'PHYS748', 'PHYS406', 'PHYS407', 'PHYS122']",3.9231,Carter Hall,hall_carter,22,13,0.23047782824589655
"['MATH131', 'MATH463', 'STAT401', 'MATH246', 'STAT100', 'STAT464', 'MATH241', 'MATH130', 'STAT400', 'MATH340', 'MATH135', 'MATH410', 'MATH401', 'STAT410', 'SURV410', 'HLTH672', 'SPHL602', 'SPHL603', 'SPHL601', 'SPHL610']",2.9091,Casey Cremins,cremins,20,44,-0.43597360903566534
"['COMM107', 'COMM798A', 'COMM107C', 'COMM107', 'COMM107C', 'COMM107', 'COMM107C', 'COMM798A', 'COMM107', 'COMM107C', 'COMM107C', 'COMM107', 'COMM107', 'COMM107C', 'COMM107C', 'COMM107']",4.1053,Cassondra Pope,pope_cassondra,16,19,0.5856632935373407
"['ENGL101', 'ENGL101H', 'ENGL101S', 'ENGL391', 'ENGL393', 'ENGL101S', 'ENGL391', 'ENGL101S', 'ENGL391', 'ENGL101S', 'ENGL391', 'ENGL393', 'ENGL101', 'ENGL101S', 'ENGL101S', 'ENGL101S']",4.3333,Catherine Bayly,bayly,16,12,0.210368812084198
"['EDCI488D', 'EDCI488E', 'TLPL488E', 'PHYS889E', 'PHYS499Q', 'PHYS889Q', 'PHYS371', 'PHYS401', 'PHYS499Q', 'PHYS889E', 'PHYS889Q', 'PHYS371', 'PHYS371', 'PHYS401', 'PHYS371', 'PHYS371']",4.6923,Chandra Turpen,turpen,16,13,0.6869840805347149
"['ENES221', 'ENME371', 'ENME632', 'ENPM620', 'ENES232', 'ENME272', 'ENME400', 'ENME406', 'ENES102', 'ENME470', 'ENME400', 'ENME400', 'ENME400', 'ENME406', 'ENME400', 'ENME400', 'ENME400', 'ENME400', 'ENME400', 'ENME406', 'ENME400']",4.1389,Chandrasekhar Thamire,thamire,21,36,-0.04935640593369802
"['CBMG688O', 'HONR278K', 'BISI678D', 'BSCI464', 'CBMG699B', 'BSCI238B', 'CBMG688B', 'CBMG688U', 'BISI712', 'BISI712', 'BSCI464', 'BISI712', 'CBMG688B', 'CBMG688U', 'CBMG699A', 'BSCI464', 'BISI712', 'CBMG688B', 'CBMG688U', 'CBMG699A', 'BISI712', 'BSCI464', 'CMNS100']",2.3929,Charles Delwiche,delwiche,23,28,-0.5643213859626225
"['PSYC353', 'PSYC690', 'PSYC698', 'PSYC603', 'PSYC660', 'PSYC661', 'PSYC468H', 'PSYC468H']",4.3,Charles Gelso,gelso,8,10,0.5316241025924683
"['ECON306', 'ECON454', 'ECON709', 'ECON808']",1.8235,Charles Hulten,hulten,4,17,-0.8461261672132155
"['MATH246', 'MATH412', 'AMSC698L', 'AMSC667', 'MATH420', 'MATH410', 'AMSC460', 'CMSC667', 'AMSC760', 'AMSC762', 'AMSC420', 'CMSC460', 'HLTH710', 'MATH416']",3.55,Charles Levermore,levermore,14,40,-0.038033817708492276
"['HIST319N', 'HIST483', 'HIST284', 'HIST482', 'HIST285', 'HIST429P']",3.3636,Charles Lilley,lilley,6,11,-0.28100132942199707
"['ENEE244', 'ENEE350', 'ENPM607']",2.7576,Charles Silio,silio,3,33,-0.502998967965444
"['PSYC300', 'PSYC604', 'PSYC489I', 'PSYC221H', 'PSYC221']",2.1944,Charles Stangor,stangor,5,36,-0.8758064243528578
"['SPAN204', 'SPAN363', 'SPAN301', 'SPAN302', 'SPAN207', 'SPAN311', 'SPAN359A', 'SPAN373', 'SPAN370', 'SPAN207', 'SPAN207', 'SPAN370', 'SPAN207', 'SPAN373', 'SPAN207', 'SPAN207', 'SPAN207', 'SPAN370', 'SPAN207', 'SPAN362', 'SPAN373', 'SPAN207']",4.5263,Chila Hidalgo,hidalgo,22,19,0.6806530387778031
"['MATH406', 'STAT410', 'MATH246H', 'MATH432', 'MATH404', 'MATH848Z', 'MATH246', 'MATH848E', 'SURV410', 'MATH734', 'MATH808W', 'HLTH710', 'MATH402', 'MATH848T', 'MATH403', 'MATH730', 'MATH403', 'MATH403', 'MATH730', 'MATH404', 'STAT410', 'SURV410']",3.0714,Christian Zickert,zickert,22,14,-0.12979464445795333
"['ANTH260', 'ANTH264', 'ANTH463', 'ANTH411', 'ANTH613', 'IMMR219C', 'ANTH663', 'ANTH611', 'ANTH413', 'ANTH358A', 'ANTH606', 'ANTH789', 'ANTH606', 'ANTH264', 'ANTH411', 'ANTH606', 'ANTH611', 'ANTH789', 'ANTH789', 'ANTH606', 'ANTH264', 'ANTH606']",5.0,Christina Getrich,getrich,22,10,0.5742424905300141
"['BIOM301', 'BIOM601', 'BIOM405', 'ANSC386', 'BIOM301', 'BIOM301', 'BIOM301', 'ANSC386', 'BIOM301', 'ANSC389', 'BIOM301', 'ANSC389', 'BIOM301', 'BIOM301', 'BIOM301', 'BIOM301']",4.1563,Christine Hakenkamp,hakenkamp,16,32,0.30365567095577717
"['CCJS230', 'CCJS325', 'CCJS350', 'CCJS370', 'CCJS331', 'MLAW305', 'MLAW358R', 'MLAW358T', 'MLAW358Z', 'MLAW404', 'MLAW358A', 'MLAW305', 'MLAW358T', 'MLAW404', 'MLAW304', 'MLAW305', 'MLAW358T', 'MLAW404', 'MLAW358T', 'MLAW358Z', 'MLAW404', 'MLAW304', 'MLAW358T', 'MLAW358T', 'MLAW358Z', 'MLAW404', 'MLAW304', 'MLAW358T']",2.5625,Christine White,white_christine,28,16,-0.48707545176148415
